"date","year","title","simple_title","artist","main_artist","peak_pos","last_pos","weeks","rank","change","spotify_link","spotify_id","video_link","genre","broad_genre","analysis_url","energy","liveness","tempo","speechiness","acousticness","instrumentalness","time_signature","danceability","key","duration_ms","loudness","valence","mode","lyrics"
"7/7/18",2018,"Havana","","Camila Cabello Featuring Young Thug","camila cabello",1,39,46,39,"0",NA,NA,NA,"unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Error: Could not find lyrics."
"7/7/18",2018,"Dura","","Daddy Yankee","daddy Yankee",43,70,21,57,"0",NA,NA,NA,"[u'latin', u'latin hip hop', u'pop', u'reggaeton', u'tropical']","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Me gusta mi reggae
Tiritiritiririti-Daddy
(Evo Jedis)

Cuando yo la vi
Dije, ""Si esa mujer fuera para mÌ_""
PerdÌ_name, te lo tenÌ_a que decir

'TÌÁs dura, dura
Dura, dura, dura
Que estÌÁs dura, mano arriba porque tÌ_ te ves bien
'TÌÁs dura, mamacita, te fuiste de nivel
Dura, mira como brilla tu piel
'TÌÁs dura, dÌ_melo, dÌ_melo, åÀcÌ_mo es que e'?
'TÌÁs dura, yo te doy un veinte de diez
'TÌÁs dura, dura, dura

TÌ_ eres la mÌÁquina, la mÌÁquina de baile
Si no tiene' a nadie vente pa' mi' brazos, caile
Ese perfume se siente en el aire
Algo como Argentina, tÌ_ me traes los Buenos Aires
'TÌÁ poderosa, media escandalosa
HabrÌÁn muchas mujeres pero tÌ_ eres otra cosa
Si fuera un delito eso de que estÌÁs hermosa
Te arresto en mi cama y te pongo las esposas
Tienes el toque, toque, toque
Miren el material, ediciÌ_n especial
Tienes el toque, toque, toque
PerdÌ_name, te lo tenÌ_a que decir

'TÌÁs dura, dura
Dura, dura, dura
Que estÌÁs dura, mano arriba porque tÌ_ te ves bien
'TÌÁs dura, mamacita, te fuiste de nivel
Dura, mira como brilla tu piel
'TÌÁs dura, dÌ_melo, dÌ_melo, åÀcÌ_mo es que e'?
'TÌÁs dura, yo te doy un veinte de diez
'TÌÁs dura, dura, dura

Me gusta como mueve ese ram-pam-pam
Mi mente maquineando en un plan-plan-plan
Si me deja, en esa curva le doy pam-pam
CuÌÁl es tu receta no sÌ©, 'tÌÁ pa' comerte bien
Me gusta como mueve ese ram-pam-pam
Mi mente maquineando en un plan-plan-plan
Si me deja, en esa curva le doy pam-pam
Tu belleza retumba, las otras pa' la tumba

Uno, dos y tres, vamo' a darle
La envidia que se calle
Saludos a to'as las nenas que paralizan la calle
åÀCÌ_mo tÌ_ te llamas? åÀde dÌ_nde tÌ_ eres?
Dame el nÌ_mero pa' entrar contigo en detalles
Y tienes el toque, toque, toque
Pareces una estrella formando el alboroto
Tienes el toque, toque, toque
Se cae el internet cuando subes una foto

Cuando yo la vi (dÌ_melo, baby girl)
Dije: ""Si esa mujer fuera para mÌ_"" (pa' mÌ_ esa baby)
PerdÌ_name, te lo tenÌ_a que decir

'TÌÁs dura, dura
Dura, dura, dura
Que estÌÁs dura, mano arriba porque tÌ_ te ves bien
'TÌÁs dura, mamacita, te fuiste de nivel
Dura, mira como brilla tu piel
'TÌÁs dura, dÌ_melo, dÌ_melo, åÀcÌ_mo es que e'?
'TÌÁs dura, yo te doy un veinte de diez
'TÌÁs dura, dura, dura

TÌ_ tienes el size, otra como tÌ_ mami no hay
PÌ©gate, dale boom bye bye
Que tÌ_ tienes el size, otra como tÌ_ mami no hay
PÌ©gate, dale boom bye bye
Que tÌ_ tienes el size, otra como tÌ_ mami no hay
PÌ©gate, dale boom bye bye
Que tÌ_ tienes el size, otra como tÌ_ mami no hay
PÌ©gate, dale boom bye bye, yep, yeah

Retumbando las bocinas de seguro
Da-Da-Da-Daddy Yankee y el Disco Duro
Urba & Rome
Que pa' esta liga no se asomen
Dura, dura, dura
DY
Blaze
(Evo Jedis)"
"7/7/18",2018,"TATI","","6ix9ine Featuring DJ SPINKING","6ix9ine",53,66,8,72,"0",NA,NA,NA,"unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Error: Could not find lyrics."
"7/7/18",2018,"The Light Is Coming","","Ariana Grande Featuring Nicki Minaj","ariana grande",NA,NA,1,95,"0",NA,NA,NA,"unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Error: Could not find lyrics."
"6/23/18",2018,"El Farsante","","Ozuna & Romeo Santos","ozuna",57,97,10,91,"0",NA,NA,NA,"unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Error: Could not find lyrics."
"6/21/18",NA,"Never Be The Same","","Camila Cabello","camila cabello",6,18,26,19,"-1","spotify:track:4eWQlBRaTjPPUlzacqEeoQ","4eWQlBRaTjPPUlzacqEeoQ","","[u'dance pop', u'pop', u'post-teen pop']","","https://api.spotify.com/v1/audio-analysis/4eWQlBRaTjPPUlzacqEeoQ","0.713","0.137","129.923","0.0747","0.181","0.000637","4","0.637","0","226973","-4.333","0.243","1","Something must've gone wrong in my brain
Got your chemicals all in my veins
Feeling all the highs, feeling all the pain

Let go on the wheel, it's the bullet lane
Now I'm seeing red, not thinking straight
Blurring all the lines, you intoxicate me

Just like nicotine, heroin, morphine
Suddenly, I'm a fiend and you're all I need
All I need
Yeah, you're all I need

It's you, babe
And I'm a sucker for the way that you move, babe
And I could try to run, but it would be useless
You're to blame
Just one hit of you, I knew I'll never be the same

It's you, babe
And I'm a sucker for the way that you move, babe
And I could try to run, but it would be useless
You're to blame
Just one hit of you, I knew I'll never ever, ever be the same

I'll never be the same
I'll never be the same
I'll never be the same

Sneaking in L.A. when the lights are low
Off of one touch, I could overdose
You said, ""Stop playing it safe, girl""
""I wanna see you lose control""

Just like nicotine, heroin, morphine
Suddenly, I'm a fiend and you're all I need
All I need
Yeah, you're all I need

It's you, babe
And I'm a sucker for the way that you move, babe
And I could try to run, but it would be useless
You're to blame
Just one hit of you, I knew I'll never be the same

It's you, babe
And I'm a sucker for the way that you move, babe
And I could try to run, but it would be useless
You're to blame
Just one hit of you, I knew I'll never ever, ever be the same

I'll never be the same
I'll never be the same
I'll never be the same

You're in my blood
You're in my veins
You're in my head (I blame)
You're in my blood
You're in my veins
You're in my head (I'm sayin')

I'm saying it's you, babe
And I'm a sucker for the way that you move, babe
And I could try to run, but it would be useless
You're to blame (You're to blame)
Just one hit of you, I knew I'll never be the same

It's you, babe
And I'm a sucker for the way that you move, babe
And I could try to run, but it would be useless
You're to blame
Just one hit of you, I knew I'll never ever, ever be the same"
"6/21/18",NA,"X","","Nicky Jam x J Balvin","nicky jam",41,57,15,58,"-1","spotify:track:39N9RPD9MRb5WmoLzNzPeA","39N9RPD9MRb5WmoLzNzPeA","","unknown","","https://api.spotify.com/v1/audio-analysis/39N9RPD9MRb5WmoLzNzPeA","0.773","0.334","180.073","0.0549","0.0364","0.00108","4","0.595","9","173628","-4.736","0.711","0","No s’© disimular, lo que quiero cuando te veo
t’_ tan solo con mirarme, sabes cual es mi deseo
si te atreves pues yo quiero, ponle una excusa a tu jevo
si yo te busco el no se va a enterar
No te lo voy a negar
estamos claros y ya
no te lo voy a negar (This is the remix)
Estamos claros y ya
Ozuna
No te lo voy a negar,
que tengo un par de malas intenciones
pero mi’©ntele a tu jevo que no quiero interrupciones
yo s’© que a ti te gustan las misiones, en lo que llego a casa
dialogamos y haces lo que se supone
Ah’_ bajito
ella me pide suave suave suavecito
b’çilame bebe que yo no me quito
tengo un truco ah’_ y un meneito
mezclado dominicano, colombiano
y el saz’_n de Puerto Rico
Solo deja que yo te agarre baby
besos en el cuello para calmar la sed
mi mano en tu cadera para empezar como es
no le vamos a bajar m’çs nunca, mam’ç

Ba ba baila, placata, placata
como ella lo mueve, sin parar, sin parar
las ganas de comerte
ahora son m’çs fuertes, quiero tenerte
Y no te voy a negar
estamos claros y ya
no te lo voy a negar
estamos claros y ya (Maluma baby)
Qu’© carajos est’ç pasando
pidieron el remix y aqu’_ se los estoy dando
es Maluma, Nicky Jam, Balvin y Ozuna
la combinaci’_n ahora si que esta dura
Venga mamasita, es que usted es tremenda cosita
no deje para ma’±ana lo que puede ser para horita
mamita, ven regalame una cita, que quiero ser el lobo
y t’_ mi caperucita
Dime lo que tu quieres, que de seguro yo tambi’©n quiero
Qu’©date tranquila, mant’©n la calma no dentres en desespero
Entre tus piernas voy a causar aguasero
Yo soy grosero, y no te lo voy a negar...!

Lo que he visto de ti mami no es normal
pero no te preocupes que soy anormal
se que tus amigas no le debo gustar
pero ve y cu’©ntale, parte por parte
como tenemos sex y te quito el estr’©s
dale otra vez...
Y no te voy a negar
estamos claros y ya
no te lo voy a negar
estamos claros y ya
Ba ba baila, placata, placata
como ella lo mueve, sin parar sin parar
las ganas de comerte ahora
son m’çs fuertes, quiero tenerte
Mientras vas bailando, el remix sonando
tu con tu pasito, nos sigues deleitando
mientras vas bailando, el remix sonando
tu con tu pasito, nos sigues deleitando
N I C K
J Balvin men
Nicky Nicky Nicky Jam
Ozuna
Maluma baby baby baby
La Industria Inc
Colombia, Puertorico
World wide babys
Remix"
"6/21/18",NA,"Drip","","Cardi B Featuring Migos","cardi b",21,84,10,96,"-12","","","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Error: Could not find lyrics."
"6/21/18",NA,"No Tears Left To Cry","","Ariana Grande","ariana grande",3,13,8,9,"4","spotify:track:5SxkdsY1ufZzoq9iXceLw9","5SxkdsY1ufZzoq9iXceLw9","","[u'dance pop', u'pop', u'post-teen pop']","","https://api.spotify.com/v1/audio-analysis/5SxkdsY1ufZzoq9iXceLw9","0.696","0.274","121.969","0.0529","0.0375","5.65E-06","4","0.703","0","205947","-5.482","0.366","1","Right now I'm in a state of mind
I wanna be in, like, all the time
Ain't got no tears left to cry
So I'm pickin' it up, pickin' it up

I'm lovin', I'm livin', I'm pickin' it up
I'm pickin' it up, pickin' it up
I'm lovin', I'm livin', I'm pickin' it up

I'm pickin' it up, pickin' it up
Lovin', I'm livin', so we turnin' up
Yeah, we turnin' it up

Ain't got no tears in my body
I ran out, but boy, I like it, I like it, I like it
Don't matter how, what, when, who tries it
We're out here vibin', we vibin', we vibin'

(Comin' out)
Even when it's rainin' down
(Can't stop now)
Can't stop so shut your mouth
(Shut your mouth)
And if you don't know then now you know it, babe
Know it, babe, yeah

Right now I'm in a state of mind
I wanna be in, like, all the time
Ain't got no tears left to cry
So I'm pickin' it up, pickin' it up (Oh, yeah)

I'm lovin', I'm livin', I'm pickin' it up

Oh, I just want you to come with me
We're on another mentality
Ain't got no tears left to cry
So I'm pickin' it up, pickin' it up (Oh, yeah)

I'm lovin', I'm livin', I'm pickin' it up
Pickin' it up, pickin' it up
I'm lovin', I'm livin', so we turnin' up (We turnin' it up)
Yeah, we turnin' it up

They point out the colors in you, I see 'em too
And, boy, I like 'em, I like 'em, I like 'em
We way too fly to partake in all this hate
We're out here vibin', we vibin', we vibin'

(Comin' out)
Even when it's rainin' down
(Can't stop now)
Can't stop so shut your mouth
(Shut your mouth)
And if you don't know then now you know it, babe
Know it, babe, yeah

Right now I'm in a state of mind
I wanna be in, like, all the time
Ain't got no tears left to cry
So I'm pickin' it up, pickin' it up (Oh, yeah)

I'm lovin', I'm livin', I'm pickin' it up

Oh, I just want you to come with me
We're on another mentality
Ain't got no tears left to cry (To cry)
So I'm pickin' it up, pickin' it up (Oh, yeah)
I'm lovin', I'm livin', I'm pickin' it up

(Comin' out)
Even when it's rainin' down
(Can't stop now)
Mmh, oh
(Shut your mouth)
Ain't got no tears left to cry,
oh yeah, oh yeah!

Oh, I just want you to come with me
We're on another mentality
Ain't got no tears left to cry (Cry)
So I'm pickin' it up, pickin' it up (Oh, yeah)

I'm lovin', I'm livin', I'm pickin' it up
Pickin' it up, pickin' it up
Lovin', I'm livin', so we turnin' up
Yeah, we turnin' it up"
"6/21/18",NA,"Sin Pijama","","Becky G + Natti Natasha","becky g",94,99,2,94,"5","spotify:track:2ijef6ni2amuunRoKTlgww","2ijef6ni2amuunRoKTlgww","","unknown","","https://api.spotify.com/v1/audio-analysis/2ijef6ni2amuunRoKTlgww","0.745","0.104","94.014","0.0464","0.354","2.93E-05","4","0.791","11","188560","-3.695","0.82","0","Solo, solito en la habitaci’_n
Busca, que busca de mi calor, uoh-oh, no-no
Quiere' remedio pa' tu dolor
Nadie te lo hace mejor que yo, uoh-oh, no-no

Que no se te apague la excitaci’_n
T’_ sabes que yo no te dejo planta'o
Calma'o, que yo voy en camino, amor
Calma'o, que yo quiero contigo

Si t’_ me llama'
Nos vamo' pa' tu casa
Nos quedamo' en la cama
Sin pijama, sin pijama

Si t’_ me llamas
Nos vamo' pa' tu casa
Nos quedamo' en la cama
Sin pijama, sin pijama (yo', yo', yo')

Voy pa' contarle mis secretos a tu almohada
Mientras tanto hagamos videollamada
Me manda foto', fotico'
Mostrando todo, todito
Cuando llegue desbaratamo' la cama

Baby, hoy no vamo' a dormir (no)
Baby, hoy no vamo' a dormir (uh-uh-uh)
Que no traje pijama
Porque no me dio la gana
Baby, hoy no vamo' a dormir

Baby, hoy no vamo' a dormir (no)
Baby, hoy no vamo' a dormir (uh-uh-uh)
Que no traje pijama
Porque no me dio la gana
Baby, hoy no vamo' a dormir

Si t’_ me llama'
Nos vamo' pa' tu casa
Nos quedamo' en la cama
Sin pijama, sin pijama

Si t’_ me llamas
Nos vamo' pa' tu casa
Nos quedamo' en la cama
Sin pijama, sin pijama

Si no hay teatro deja el drama
Enci’©ndeme la llama
Como yo vine al mundo, ese es mi mejor pijama
Hoy hay toque de queda
Ser’© tuya hasta la ma’±ana
La pasamos romantic
Sin piloto automatic
Botamos el manual, 'tamos viajando en cannabis
Siempre he sido una dama (una gyal)
Pero soy una perra en la cama

As’_ que dale pom-pom-pom-pom-pom
Ponle carne a mi saz’_n-z’_n-z’_n-z’_n-z’_n
Choca to' eso con mi bon-bon-bon-bon-bon
Perdemo' el control pa' ganar los do'

As’_ que dale pom-pom-pom-pom-pom
Ponle fuego a mi saz’_n-z’_n-z’_n-z’_n-z’_n
Choca to' eso con mi bon-bon-bon-bon-bon
Espero tu call, vente dame el gol

Si t’_ me llama'
Nos vamo' pa' tu casa
Nos quedamo' en la cama
Sin pijama, sin pijama

Si t’_ me llamas
Nos vamo' pa' tu casa
Fumamo' marihuana
Sin pijama, sin pijama

(Baby, hoy no vamo' a dormir, Natti Nat)
(Baby, hoy no vamo' a dormir)
Natti Nat, yeah-yeah
(Que no traje pijama porque no me dio la gana)
Becky G baby (baby, hoy no vamo' a dormir)"
